Store,Date,Time,Term,Trans,SNAP_ID,Total Spent with SNAP,Total Spent on Fruit & Vegatables,Total Spent on Other Items,Value of Coupons Issued,Count of Coupons Issued,CASH,CHECKS,EBT,EBT-OTHER,WIC,CREDIT CARDS,DEBIT CARDS,OTHER TENDERS
6,20200102,104219,6,53,5953,48.58,24.18,34.77,10,1,0,0,48.58,0,0,10.37,0,0
6,20200102,113204,3,127,3509,103.05,11.4,91.65,10,1,0,0,103.05,0,0,0,0,0
6,20200102,114254,3,138,838,105.44,6.23,99.21,5,1,0,0,105.44,0,0,0,0,0
6,20200102,114501,6,109,1541,13.87,5.98,7.89,5,1,0,0,13.87,0,0,0,0,0
6,20200102,114847,6,111,2954,130.7,16.64,114.06,10,1,0,0,130.7,0,0,0,0,0
6,20200102,124916,6,137,1947,19.23,7.48,11.75,5,1,0,0,19.23,0,0,0,0,0
6,20200102,131750,1,71,8691,115.39,7.37,108.02,5,1,0,0,115.39,0,0,0,0,0
6,20200102,132153,3,214,9058,8.77,10.32,-1.55,5,1,0,0,8.77,0,0,0,0,0
6,20200102,142258,4,18,5492,37.07,10.81,26.26,10,1,0,0,37.07,0,0,0,0,0
6,20200102,163841,4,101,6785,252.75,6.3,246.45,5,1,0,0,252.75,0,0,0,0,0
6,20200102,165145,2,102,6474,117.23,14.21,103.02,10,1,0,0,117.23,0,0,0,0,0
6,20200102,185702,2,220,6971,148.95,5.99,142.83,5,1,-0.13,0,148.95,0,0,0,0,0
6,20200102,203235,2,317,9641,48.04,6.63,68.38,5,1,0,0,48.04,0,26.97,0,0,0
9,20200102,133528,5,179,2525,29.47,19.46,10.01,10,1,0,0,29.47,0,0,0,0,0
9,20200102,140443,6,87,292,67.73,36,31.73,10,1,0,0,67.73,0,0,0,0,0
9,20200102,145554,6,112,774,16,5.48,64,5,1,53.48,0,16,0,0,0,0,0
9,20200102,163927,2,137,5638,47.57,22.1,25.47,10,1,0,0,47.57,0,0,0,0,0
9,20200102,164618,1,107,8442,110.41,9.28,104.31,5,1,0,0,110.41,0,0,3.18,0,0
9,20200102,183226,6,198,7935,32.04,8.89,23.15,5,1,0,0,32.04,0,0,0,0,0
10,20200102,84723,3,14,6337,24.28,13.18,11.1,10,1,0,0,24.28,0,0,0,0,0
10,20200102,112347,8,45,8901,56.11,13.26,42.85,10,1,0,0,56.11,0,0,0,0,0
10,20200102,124010,3,158,4562,96.72,11.62,113.75,10,1,0,0,96.72,0,0,0,28.65,0
10,20200102,130920,5,145,4034,71.53,5.09,66.44,5,1,0,0,71.53,0,0,0,0,0
1,20200103,82953,1,44,4397,22,20.75,85.63,10,1,68.11,0,22,0,16.27,0,0,0
1,20200103,123235,4,177,4691,13.09,15.01,-1.92,10,1,0,0,13.09,0,0,0,0,0
1,20200103,134545,3,189,673,5.38,7.98,4.98,5,1,0,0,5.38,0,7.58,0,0,0
1,20200103,151210,3,251,4837,66.11,13.69,52.42,10,1,0,0,66.11,0,0,0,0,0
1,20200103,152453,3,257,5845,6.61,14.69,-3.83,5,1,4.25,0,6.61,0,0,0,0,0
1,20200103,160132,4,236,9748,24.75,14.05,10.7,10,1,0,0,24.75,0,0,0,0,0
1,20200103,164708,3,293,8204,116.34,6.98,109.36,5,1,0,0,116.34,0,0,0,0,0
1,20200103,193459,2,213,1760,32.7,5.98,26.72,5,1,0,0,32.7,0,0,0,0,0
2,20200103,93305,1,113,1218,46.62,21.05,25.57,10,1,0,0,46.62,0,0,0,0,0
2,20200103,174016,3,162,5291,32.95,9.28,23.67,5,1,0,0,32.95,0,0,0,0,0
2,20200103,193634,3,213,9064,41.31,7.93,33.38,5,1,0,0,41.31,0,0,0,0,0
4,20200103,91500,4,10,8112,49.57,7.97,41.6,5,1,0,0,49.57,0,0,0,0,0
4,20200103,114918,3,144,2853,105.49,10.33,135.76,10,1,0,0,105.49,0,0,0,40.6,0
4,20200103,155708,4,262,606,310.74,62.73,262.29,10,1,14.28,0,310.74,0,0,0,0,0
4,20200103,213059,2,350,1317,156.62,23.36,133.26,10,1,0,0,156.62,0,0,0,0,0
6,20200103,121202,4,49,7224,257.25,43.14,214.11,10,1,0,0,257.25,0,0,0,0,0
6,20200103,122032,3,174,5139,103.22,11.24,91.98,10,1,0,0,103.22,0,0,0,0,0
6,20200103,133332,3,237,7154,209.66,29.08,180.58,10,1,0,0,209.66,0,0,0,0,0
6,20200103,134552,4,118,5953,11.82,15.38,-3.56,10,1,0,0,11.82,0,0,0,0,0
6,20200103,135834,3,254,831,101.47,16.33,85.14,10,1,0,0,101.47,0,0,0,0,0
6,20200103,145706,4,161,9393,28.39,10.87,17.52,10,1,0,0,28.39,0,0,0,0,0
6,20200103,155257,4,194,9289,26.5,7.98,34.59,5,1,16.07,0,26.5,0,0,0,0,0
6,20200103,155504,3,324,9461,36.78,9.98,26.8,5,1,0,0,36.78,0,0,0,0,0
6,20200103,161224,2,39,7412,124.09,23.45,100.64,10,1,0,0,124.09,0,0,0,0,0
9,20200103,132640,5,72,3555,50,16.85,72.39,10,1,0,0,50,0,0,0,39.24,0
9,20200103,155301,5,170,7280,35.39,15.66,19.73,10,1,0,0,35.39,0,0,0,0,0
9,20200103,163206,4,223,9446,83.6,10.13,73.47,10,1,0,0,83.6,0,0,0,0,0
10,20200103,121746,1,110,1274,79.89,18.8,70.73,10,1,9.64,0,79.89,0,0,0,0,0
10,20200103,124536,6,208,7352,90.51,34.78,55.73,10,1,0,0,90.51,0,0,0,0,0
10,20200103,162133,4,132,346,31.68,7.98,23.7,5,1,0,0,31.68,0,0,0,0,0
10,20200103,171418,2,261,8673,62.58,19.52,53.06,10,1,0,0,62.58,0,0,0,0,10
10,20200103,182503,2,315,6192,88.58,9.18,79.4,5,1,0,0,88.58,0,0,0,0,0
10,20200103,215519,1,287,3964,58.32,17.48,40.84,10,1,0,0,58.32,0,0,0,0,0
1,20200104,102910,3,87,6222,15.35,12.15,3.2,10,1,0,0,15.35,0,0,0,0,0
1,20200104,143214,4,194,4948,9.65,9.38,0.27,5,1,0,0,9.65,0,0,0,0,0
1,20200104,145739,5,100,4671,118.06,8.3,109.76,5,1,0,0,118.06,0,0,0,0,0
1,20200104,173214,2,21,8003,61.68,29.28,32.4,10,1,0,0,61.68,0,0,0,0,0
1,20200104,184542,30,133,1975,265.84,60.25,205.59,10,1,0,0,265.84,0,0,0,0,0
1,20200104,200153,2,129,3041,285.78,19.15,266.63,10,1,0,0,285.78,0,0,0,0,0
2,20200104,101241,2,30,7638,102.79,8.53,94.26,5,1,0,0,102.79,0,0,0,0,0
2,20200104,120523,1,106,5178,46.84,7.74,39.1,5,1,0,0,46.84,0,0,0,0,0
2,20200104,125700,2,142,9446,52.63,17.46,35.17,10,1,0,0,52.63,0,0,0,0,0
2,20200104,135928,2,173,434,29.38,13.77,15.61,10,1,0,0,29.38,0,0,0,0,0
2,20200104,174529,5,83,7352,61.72,6.99,66.29,5,1,11.56,0,61.72,0,0,0,0,0
4,20200104,105119,2,28,3026,23.92,12.91,11.01,10,1,0,0,23.92,0,0,0,0,0
4,20200104,130616,3,186,54,84.9,7.55,88.22,5,1,0,0,84.9,0,0,0,10.87,0
4,20200104,151209,2,142,8737,77.01,9.51,67.5,5,1,0,0,77.01,0,0,0,0,0
4,20200104,153203,6,217,801,24.93,14.97,9.96,10,1,0,0,24.93,0,0,0,0,0
4,20200104,155948,4,82,1907,80.94,31.46,49.48,10,1,0,0,80.94,0,0,0,0,0
4,20200104,165253,5,132,7067,80.01,8.13,113.55,5,1,0,0,80.01,0,0,0,41.67,0
4,20200104,165517,5,133,6188,97.64,26.89,70.75,10,1,0,0,97.64,0,0,0,0,0
4,20200104,172903,4,138,2663,113.22,5.07,108.15,5,1,0,0,113.22,0,0,0,0,0
4,20200104,191133,2,276,7205,46.54,5.99,40.55,5,1,0,0,46.54,0,0,0,0,0
6,20200104,82943,2,16,1257,140.14,15.76,127.37,10,1,2.99,0,140.14,0,0,0,0,0
6,20200104,125007,4,109,2777,82.05,20.95,61.1,10,1,0,0,82.05,0,0,0,0,0
6,20200104,125049,2,194,9670,265.57,24.31,241.26,10,1,0,0,265.57,0,0,0,0,0
6,20200104,132653,6,201,1568,15.22,8.22,7,5,1,0,0,15.22,0,0,0,0,0
6,20200104,133741,6,207,4606,194.82,15.11,197.92,10,1,0,0,194.82,0,0,0,18.21,0
6,20200104,140248,2,249,4128,42.43,5.94,36.49,5,1,0,0,42.43,0,0,0,0,0
6,20200104,141149,4,197,3814,15.69,13.74,1.95,10,1,0,0,15.69,0,0,0,0,0
6,20200104,151921,4,267,4449,40,10.41,69.18,10,1,39.59,0,40,0,0,0,0,0
6,20200104,154108,4,293,39,83.63,12.55,71.08,10,1,0,0,83.63,0,0,0,0,0
6,20200104,154702,3,61,5588,48.31,14.06,34.25,10,1,0,0,48.31,0,0,0,0,0
6,20200104,165317,4,363,9476,260.3,6.6,253.7,5,1,0,0,260.3,0,0,0,0,0
6,20200104,170859,2,381,9098,10.82,5.99,13.14,5,1,-50,0,10.82,0,0,0,58.31,0
6,20200104,173836,1,106,9434,118.11,20.89,97.22,10,1,0,0,118.11,0,0,0,0,0
6,20200104,194731,3,202,7654,97.88,5.17,95.92,5,1,3.21,0,97.88,0,0,0,0,0
9,20200104,124424,4,77,2725,247.08,38.73,210.35,10,1,2,0,247.08,0,0,0,0,0
9,20200104,130946,1,129,4005,47.04,10.9,36.14,10,1,0,0,47.04,0,0,0,0,0
9,20200104,135529,7,115,3697,194.51,19.06,175.45,10,1,0,0,194.51,0,0,0,0,0
9,20200104,143132,5,97,5799,32.44,7.46,27.31,5,1,0,0,32.44,0,0,0,2.33,0
9,20200104,162940,1,207,1113,97.61,20.03,77.58,10,1,0,0,97.61,0,0,0,0,0
9,20200104,165354,2,146,2737,197.43,31.98,165.45,10,1,0,0,197.43,0,0,0,0,0
9,20200104,171428,36,219,1286,53.62,11.68,41.94,10,1,0,0,53.62,0,0,0,0,0
9,20200104,195854,2,232,3755,49.71,17.45,33.33,10,1,0,0,49.71,0,0,1.07,0,0
9,20200104,213951,3,186,8829,82.9,7.18,75.72,5,1,0,0,82.9,0,0,0,0,0
10,20200104,112732,8,63,8341,82.39,22.31,60.08,10,1,0,0,82.39,0,0,0,0,0
10,20200104,153147,8,177,8640,85.98,15.12,70.86,10,1,0,0,85.98,0,0,0,0,0
10,20200104,155414,8,187,5147,70.52,15.47,63.04,10,1,0,0,70.52,0,0,7.99,0,0
10,20200104,183104,3,183,287,85.33,25.54,68.02,10,1,8.23,0,85.33,0,0,0,0,0
10,20200104,185819,3,198,346,22.35,16.96,5.39,10,1,0,0,22.35,0,0,0,0,0
1,20200105,102131,4,4,860,34.17,17.51,16.66,10,1,0,0,34.17,0,0,0,0,0
1,20200105,124302,2,45,4005,63.04,7.46,55.58,5,1,0,0,63.04,0,0,0,0,0
1,20200105,135627,2,105,2265,47.73,11.4,36.33,10,1,0,0,47.73,0,0,0,0,0
1,20200105,135946,4,128,4235,24.34,10.07,14.27,10,1,0,0,24.34,0,0,0,0,0
1,20200105,140331,2,111,5786,29.76,19.9,9.86,10,1,0,0,29.76,0,0,0,0,0
1,20200105,144709,1,84,6301,32.3,16.43,24.37,10,1,0,0,32.3,0,0,8.5,0,0
1,20200105,150927,2,154,5708,163.27,33.72,138.9,10,1,9.35,0,163.27,0,0,0,0,0
1,20200105,170133,2,274,6873,63.18,13.98,49.2,10,1,0,0,63.18,0,0,0,0,0
2,20200105,134352,6,48,9064,12.77,13.04,-0.27,10,1,0,0,12.77,0,0,0,0,0
2,20200105,151513,2,349,1677,32.37,9.98,22.39,5,1,0,0,32.37,0,0,0,0,0
2,20200105,165933,6,115,5087,156,9.43,163.54,5,1,0,0,156,0,0,0,16.97,0
2,20200105,173956,5,85,4789,13.63,6.95,6.68,5,1,0,0,13.63,0,0,0,0,0
4,20200105,93401,36,13,6096,19.3,9.43,9.87,5,1,0,0,19.3,0,0,0,0,0
4,20200105,103032,3,92,3229,28,15.21,21.64,10,1,0,0,28,0,0,0,8.85,0
4,20200105,122203,3,140,7282,142.24,15.72,260.91,10,1,2.12,0,142.24,0,132.27,0,0,0
4,20200105,125523,4,15,1013,47.63,19.65,29.48,10,1,1.5,0,47.63,0,0,0,0,0
4,20200105,142257,3,210,5818,30.82,6.99,23.83,5,1,0,0,30.82,0,0,0,0,0
4,20200105,143233,3,216,6485,113.21,6.59,109.17,5,1,2.55,0,113.21,0,0,0,0,0
4,20200105,151150,4,81,6121,134.19,17.57,116.62,10,1,0,0,134.19,0,0,0,0,0
4,20200105,181442,4,166,1036,19.96,14.95,7.12,10,1,2.11,0,19.96,0,0,0,0,0
4,20200105,191316,4,206,4547,150.36,17.21,180.79,10,1,0,0,150.36,0,0,0,22.64,25
6,20200105,110644,1,37,3466,12.87,14.83,-1.96,10,1,0,0,12.87,0,0,0,0,0
6,20200105,113536,2,189,7603,51.96,9.41,42.55,5,1,0,0,51.96,0,0,0,0,0
6,20200105,132834,2,288,102,79.14,9.98,69.16,5,1,0,0,79.14,0,0,0,0,0
6,20200105,140528,6,136,2869,71.54,6.33,65.21,5,1,0,0,71.54,0,0,0,0,0
6,20200105,160538,4,238,5714,44.55,6.56,37.99,5,1,0,0,44.55,0,0,0,0,0
6,20200105,161024,3,72,3995,56.4,6.1,50.3,5,1,0,0,56.4,0,0,0,0,0
9,20200105,122933,6,89,8141,16,31.04,-0.96,10,1,0,0,16,0,0,0,14.08,0
9,20200105,151334,1,71,6890,80.07,6.99,73.08,5,1,0,0,80.07,0,0,0,0,0
9,20200105,190618,1,119,978,65.2,10.56,54.64,10,1,0,0,65.2,0,0,0,0,0
10,20200105,105806,6,91,6337,25.99,16.72,9.27,10,1,0,0,25.99,0,0,0,0,0
10,20200105,113624,7,33,1333,71.45,15.51,55.94,10,1,0,0,71.45,0,0,0,0,0
10,20200105,130732,4,5,1485,46.28,7.49,38.79,5,1,0,0,46.28,0,0,0,0,0
10,20200105,140355,4,43,5258,71.4,16.65,69.75,10,1,0,0,71.4,0,0,15,0,0
10,20200105,144231,4,78,6971,138.01,19.97,147.79,10,1,0,0,138.01,0,0,29.75,0,0
10,20200105,155558,35,89,5086,61.77,9.46,52.31,5,1,0,0,61.77,0,0,0,0,0
10,20200105,181238,2,170,104,48.97,18.16,30.81,10,1,0,0,48.97,0,0,0,0,0
1,20200106,90256,1,56,2610,28.49,5.5,36.48,5,1,13.49,0,28.49,0,0,0,0,0
1,20200106,123343,3,152,4285,37.76,8.52,32.44,5,1,0,0,37.76,0,0,0,3.2,0
1,20200106,143257,2,102,9429,19.72,14.59,27.18,10,1,0,0,19.72,0,0,22.05,0,0
1,20200106,151847,3,200,5476,34.37,8.32,26.05,5,1,0,0,34.37,0,0,0,0,0
1,20200106,154318,3,214,985,23.92,17.43,6.49,10,1,0,0,23.92,0,0,0,0,0
1,20200106,161953,1,109,5838,32.73,17.54,15.19,10,1,0,0,32.73,0,0,0,0,0
1,20200106,163248,2,126,5845,9.55,11.85,0.03,5,1,2.33,0,9.55,0,0,0,0,0
1,20200106,180354,3,288,3183,179.45,13.42,166.03,10,1,0,0,179.45,0,0,0,0,0
2,20200106,113343,2,120,7638,18.62,18.62,0,10,1,0,0,18.62,0,0,0,0,0
2,20200106,122021,1,103,9627,74.06,18.34,55.72,10,1,0,0,74.06,0,0,0,0,0
2,20200106,132437,4,100,5992,114.34,11.96,102.38,10,1,0,0,114.34,0,0,0,0,0
2,20200106,134938,1,123,7862,28.14,5.94,32.19,5,1,9.99,0,28.14,0,0,0,0,0
2,20200106,145031,2,277,1144,31.42,8.89,22.53,5,1,0,0,31.42,0,0,0,0,0
2,20200106,152722,5,4,9064,21.71,21.28,13.86,10,1,0,0,21.71,0,0,0,13.43,0
2,20200106,154635,4,172,9323,16,7.52,30.24,5,1,21.76,0,16,0,0,0,0,0
2,20200106,171347,5,46,1931,274.77,5.97,301.08,5,1,0,0,274.77,0,0,0,32.28,0
4,20200106,74621,3,27,796,42.58,13.92,28.66,10,1,0,0,42.58,0,0,0,0,0
4,20200106,103341,1,3,8319,33.63,7.93,25.7,5,1,0,0,33.63,0,0,0,0,0
4,20200106,122647,2,147,4976,38.01,9.22,28.79,5,1,0,0,38.01,0,0,0,0,0
4,20200106,131415,5,73,9333,80.03,5.53,74.5,5,1,0,0,80.03,0,0,0,0,0
4,20200106,141506,2,207,8085,44.66,13.6,31.06,10,1,0,0,44.66,0,0,0,0,0
4,20200106,143243,5,112,778,104.2,31.5,72.7,10,1,0,0,104.2,0,0,0,0,0
4,20200106,164010,5,168,303,28.66,5.47,23.19,5,1,0,0,28.66,0,0,0,0,0
4,20200106,170831,5,176,7791,38.25,19.08,19.17,10,1,0,0,38.25,0,0,0,0,0
4,20200106,172409,3,315,1317,100.61,10.45,90.16,10,1,0,0,100.61,0,0,0,0,0
4,20200106,174424,3,328,1449,165.77,8.37,157.4,5,1,0,0,165.77,0,0,0,0,0
4,20200106,183651,2,294,4615,55.29,5.71,49.58,5,1,0,0,55.29,0,0,0,0,0
4,20200106,184449,2,300,8817,49.87,18.17,31.7,10,1,0,0,49.87,0,0,0,0,0
6,20200106,93255,4,3,709,175.16,11.47,163.69,10,1,0,0,175.16,0,0,0,0,0
6,20200106,93835,4,7,1013,40,24.78,84.68,10,1,0,0,40,0,0,0,54.46,15
6,20200106,93936,2,49,7213,242.26,18.3,231.12,10,1,0,0,242.26,0,0,0,7.16,0
6,20200106,112704,4,91,379,21.61,5.98,32.23,5,1,16.6,0,21.61,0,0,0,0,0
6,20200106,114007,2,138,9538,17.73,9.98,7.75,5,1,0,0,17.73,0,0,0,0,0
6,20200106,114122,4,101,9685,352,9.98,349.09,5,1,7.07,0,352,0,0,0,0,0
6,20200106,131141,2,197,350,116.42,11.27,105.15,10,1,0,0,116.42,0,0,0,0,0
6,20200106,132646,4,187,7577,25.91,6.63,30.28,5,1,11,0,25.91,0,0,0,0,0
6,20200106,143505,3,10,6709,166.6,16.93,149.67,10,1,0,0,166.6,0,0,0,0,0
6,20200106,144608,3,14,2298,59.49,13.35,46.14,10,1,0,0,59.49,0,0,0,0,0
6,20200106,150125,4,248,1936,41.36,11.67,41.82,10,1,12.13,0,41.36,0,0,0,0,0
6,20200106,151343,4,255,3692,126.55,5.47,121.08,5,1,0,0,126.55,0,0,0,0,0
6,20200106,160142,2,305,3026,91.68,5.98,86.76,5,1,1.06,0,91.68,0,0,0,0,0
6,20200106,162432,1,82,7940,6.03,6.03,0,5,1,0,0,6.03,0,0,0,0,0
6,20200106,162717,2,327,9463,108.59,37.08,71.51,10,1,0,0,108.59,0,0,0,0,0
6,20200106,181722,3,147,1136,176.47,5.47,171,5,1,0,0,176.47,0,0,0,0,0
6,20200106,184300,3,167,3347,87.49,10.95,76.54,10,1,0,0,87.49,0,0,0,0,0
9,20200106,102333,5,8,7051,109.47,8.66,100.81,5,1,0,0,109.47,0,0,0,0,0
9,20200106,104305,7,95,8855,32.27,21.93,10.34,10,1,0,0,32.27,0,0,0,0,0
9,20200106,142811,5,141,2525,14.7,17.84,-3.14,10,1,0,0,14.7,0,0,0,0,0
9,20200106,143419,6,185,3787,58.7,9.52,49.18,5,1,0,0,58.7,0,0,0,0,0
9,20200106,182100,2,82,3498,71.57,14.72,71.42,10,1,0,0,71.57,0,0,14.57,0,0
10,20200106,103919,5,98,8201,75.43,15.77,59.66,10,1,0,0,75.43,0,0,0,0,0
10,20200106,113441,3,70,7388,54.98,11.96,100.81,10,1,57.79,0,54.98,0,0,0,0,0
10,20200106,145457,7,73,1335,94.99,8.77,86.22,5,1,0,0,94.99,0,0,0,0,0
10,20200106,150306,6,85,4034,27.67,8.08,19.59,5,1,0,0,27.67,0,0,0,0,0
10,20200106,153818,3,201,4176,62.46,5.6,63.93,5,1,0,0,62.46,0,0,7.07,0,0
10,20200106,160020,2,28,4591,74.75,8.27,66.48,5,1,0,0,74.75,0,0,0,0,0
10,20200106,181023,4,76,2798,10.98,16.46,-5.48,10,1,0,0,10.98,0,0,0,0,0
1,20200107,121039,3,129,1159,18.02,8.68,9.34,5,1,0,0,18.02,0,0,0,0,0
1,20200107,134647,4,181,8673,65.1,16.72,48.38,10,1,0,0,65.1,0,0,0,0,0
1,20200107,142149,3,256,9974,15,5.17,43.99,5,1,0,0,15,0,0,0,34.16,0
1,20200107,144953,3,273,2606,78,21.79,122.55,10,1,0,0,78,0,0,66.34,0,0
1,20200107,151933,4,231,4937,45.1,6.23,38.87,5,1,0,0,45.1,0,0,0,0,0
1,20200107,155247,3,291,6430,70.29,15.21,63.59,10,1,0,0,70.29,0,0,0,8.51,0
1,20200107,192055,3,465,8551,10.89,6.9,15.69,5,1,11.7,0,10.89,0,0,0,0,0
2,20200107,124558,1,103,4127,35.5,13.54,35.22,10,1,-10,0,35.5,0,0,0,23.26,0
2,20200107,174727,3,48,6129,124.49,6.98,117.51,5,1,0,0,124.49,0,0,0,0,0
2,20200107,184143,3,83,8693,171.4,48.5,122.9,10,1,0,0,171.4,0,0,0,0,0
2,20200107,202703,3,136,7103,5.65,5.51,21.04,5,1,20.9,0,5.65,0,0,0,0,0
4,20200107,134015,1,70,3155,5,10.31,29.02,5,1,0,0,5,0,0,0,34.33,0
4,20200107,162519,4,167,3599,20.22,11.17,9.05,10,1,0,0,20.22,0,0,0,0,0
4,20200107,171400,4,189,8470,84.08,21.16,62.92,10,1,0,0,84.08,0,0,0,0,0
4,20200107,180234,2,281,1036,36.63,22.71,13.92,10,1,0,0,36.63,0,0,0,0,0
4,20200107,181806,4,211,9406,131.56,11.5,131,10,1,0,0,131.56,0,0,0,10.94,0
4,20200107,182127,3,140,352,116.9,19.94,109.81,10,1,12.85,0,116.9,0,0,0,0,0
4,20200107,201817,3,219,9354,40.77,15.75,25.02,10,1,0,0,40.77,0,0,0,0,0
6,20200107,102022,4,39,8234,73.36,13.41,86.35,10,1,0,0,73.36,0,0,0,26.4,0
6,20200107,103134,2,100,669,111.5,12.32,110.61,10,1,11.43,0,111.5,0,0,0,0,0
6,20200107,104219,4,60,4709,106.23,11.98,94.25,10,1,0,0,106.23,0,0,0,0,0
6,20200107,120117,2,161,5953,31.47,16.83,14.64,10,1,0,0,31.47,0,0,0,0,0
6,20200107,154117,2,203,3613,13.74,5.44,18.74,5,1,0,0,13.74,0,10.44,0,0,0
6,20200107,154242,1,118,6787,102.92,8.54,94.38,5,1,0,0,102.92,0,0,0,0,0
6,20200107,160218,1,126,2226,97.82,13.05,84.77,10,1,0,0,97.82,0,0,0,0,0
6,20200107,180528,2,278,7878,53.1,6.27,53.2,5,1,0,0,53.1,0,6.37,0,0,0
9,20200107,113137,5,67,7959,16.43,11.55,4.88,10,1,0,0,16.43,0,0,0,0,0
9,20200107,130122,5,101,8614,170.24,37.72,132.52,10,1,0,0,170.24,0,0,0,0,0
9,20200107,154103,5,168,8770,5.04,5.04,0,5,1,0,0,5.04,0,0,0,0,0
9,20200107,173916,3,121,8683,110.15,57.53,128.73,10,1,0,0,110.15,0,0,76.11,0,0
