Store,Date,Time,Term,Trans,SNAP_ID,Total Spent with SNAP,Total Spent on Fruit & Vegatables,Total Spent on Other Items,Value of Coupons Redeemed,Count of Coupons Redeemed,CASH,CHECKS,EBT,EBT-OTHER,WIC,CREDIT CARDS,DEBIT CARDS,OTHER TENDERS
4,20190112,132316,6,144,4371,28.62,6.95,35.3,5,1,0,0,28.62,0,0,0,13.63,0
4,20190112,142606,6,170,0,0,17.36,15.42,10,1,-40,0,0,0,0,0,72.78,0
4,20190112,163432,36,73,1036,19.55,9.41,10.14,5,1,0,0,19.55,0,0,0,0,0
9,20190112,113217,5,58,5686,34.13,11.11,23.02,10,1,0,0,34.13,0,0,0,0,0
1,20190113,125353,3,56,0,0,10.32,-0.9,5,1,0,0,0,0,0,0,0,9.42
1,20190113,131344,3,74,9989,8.24,11.97,-3.73,10,1,0,0,8.24,0,0,0,0,0
1,20190113,142016,2,11,860,45.09,14.84,30.25,10,1,0,0,45.09,0,0,0,0,0
1,20190113,155849,3,196,0,0,22.06,23.58,10,1,0,0,0,0,0,45.64,0,0
1,20190113,160944,2,59,9389,25,39.7,34.61,10,1,0,0,25,0,0,49.31,0,0
1,20190113,183255,2,131,0,0,13.32,4.79,10,1,18.11,0,0,0,0,0,0,0
4,20190113,190606,2,362,821,37.17,37,0.17,5,1,0,0,37.17,0,0,0,0,0
9,20190113,191342,6,208,0,0,13.97,9.11,10,1,0,0,0,0,0,23.08,0,0
1,20190114,102042,1,43,4948,17.56,10.19,7.37,10,1,0,0,17.56,0,0,0,0,0
1,20190114,113603,4,73,3943,73.01,18.73,54.28,10,1,0,0,73.01,0,0,0,0,0
1,20190114,130744,5,21,0,0,13.59,43.31,10,1,0,0,0,0,0,0,56.9,0
1,20190114,163843,4,243,0,0,14.14,-0.03,10,1,14.11,0,0,0,0,0,0,0
4,20190114,111716,6,83,5386,22.48,10.57,11.91,10,1,0,0,22.48,0,0,0,0,0
4,20190114,143014,6,174,9674,32.36,14.99,17.37,10,1,0,0,32.36,0,0,0,0,0
9,20190114,130039,4,102,5464,19.59,16.87,2.72,5,1,0,0,19.59,0,0,0,0,0
9,20190114,160358,17,106,9316,15,10.43,94.31,10,1,0,0,15,0,0,89.74,0,0
9,20190114,175940,2,211,5686,19.03,10.93,8.1,10,1,0,0,19.03,0,0,0,0,0
1,20190115,110325,72,27,3697,20.59,12.48,8.11,10,1,0,0,20.59,0,0,0,0,0
1,20190115,113132,3,116,0,0,10.83,4.26,10,1,15.09,0,0,0,0,0,0,0
1,20190115,161228,3,325,5838,44.87,11.56,33.31,10,1,0,0,44.87,0,0,0,0,0
1,20190115,183614,2,191,119,121.22,13.73,107.49,10,1,0,0,121.22,0,0,0,0,0
1,20190115,200128,2,240,642,12.26,5.29,6.97,5,1,0,0,12.26,0,0,0,0,0
4,20190115,142637,5,110,7470,30,17.7,30.25,10,1,-50,0,30,0,0,0,67.95,0
4,20190115,162731,5,181,0,0,8.67,-8.04,5,1,0.63,0,0,0,0,0,0,0
4,20190115,215502,2,363,0,0,12.53,2.16,10,1,-20,0,0,0,0,0,34.69,0
9,20190115,150043,1,58,2052,51.83,15.58,36.25,10,1,0,0,51.83,0,0,0,0,0
9,20190115,183049,4,130,8337,135.97,19.79,116.18,10,1,0,0,135.97,0,0,0,0,0
15,20190115,171326,2,10,0,0,18.12,78.97,10,1,0,0,0,0,0,97.09,0,0
1,20190116,93534,4,2,860,23.36,16.63,6.73,10,1,0,0,23.36,0,0,0,0,0
1,20190116,131316,3,219,9537,13.56,9.98,3.58,5,1,0,0,13.56,0,0,0,0,0
1,20190116,131530,3,221,0,0,5.96,-5.78,5,1,0.18,0,0,0,0,0,0,0
1,20190116,141358,30,95,771,3.91,18.75,-14.84,10,1,0,0,3.91,0,0,0,0,0
1,20190116,190254,2,120,5686,7.76,18.58,-10.82,10,1,0,0,7.76,0,0,0,0,0
4,20190116,110820,2,12,0,0,18.98,44.81,10,1,0,0,0,0,18.06,0,45.73,0
4,20190116,162904,3,253,7325,210.88,15.66,200.52,5,1,5.3,0,210.88,0,0,0,0,0
4,20190116,172113,2,28,5355,87.5,13.09,74.41,10,1,0,0,87.5,0,0,0,0,0
4,20190116,194310,4,238,0,0,10,-8.65,10,1,0,0,0,0,0,0,1.35,0
9,20190116,115656,1,70,0,0,12.52,-6.72,10,1,5.8,0,0,0,0,0,0,0
9,20190116,152213,1,152,7791,30.6,18.98,11.62,5,1,0,0,30.6,0,0,0,0,0
9,20190116,163349,3,188,9303,101.03,18.58,82.45,5,1,0,0,101.03,0,0,0,0,0
1,20190117,122959,3,109,2758,227.18,22.1,229.54,10,1,0,0,227.18,0,0,24.46,0,0
1,20190117,131139,3,134,6776,58.26,18.4,39.86,10,1,0,0,58.26,0,0,0,0,0
1,20190117,160454,2,262,0,0,17.04,8.83,10,1,0,0,0,0,0,25.87,0,0
4,20190117,120400,5,65,4108,26.27,7.07,20.52,5,1,1.32,0,26.27,0,0,0,0,0
4,20190117,124515,2,174,3257,21.13,13.2,7.93,10,1,0,0,21.13,0,0,0,0,0
4,20190117,140350,1,115,0,0,21.86,13.44,15,2,0,0,0,0,0,0,35.3,0
4,20190117,141104,2,219,0,0,5.71,9.29,5,1,0,0,0,0,0,15,0,0
4,20190117,145937,5,212,8085,5.97,7.57,-1.6,5,1,0,0,5.97,0,0,0,0,0
4,20190117,214313,36,98,4371,26.21,22.07,4.14,20,2,0,0,26.21,0,0,0,0,0
9,20190117,131028,5,118,1113,4.47,11.98,-7.51,10,1,0,0,4.47,0,0,0,0,0
9,20190117,133418,2,120,3286,75.68,24.98,50.7,10,1,0,0,75.68,0,0,0,0,0
9,20190117,135923,5,138,978,104.05,18.04,86.01,10,1,0,0,104.05,0,0,0,0,0
9,20190117,155004,36,171,0,0,10,-5,5,1,5,0,0,0,0,0,0,0
9,20190117,194729,2,271,3943,186.76,20.84,171.19,5,1,-20,0,186.76,0,0,0,25.27,0
1,20190118,82926,2,9,4948,73.64,32.98,40.66,10,1,0,0,73.64,0,0,0,0,0
1,20190118,94520,2,37,1760,14.47,11.17,3.3,5,1,0,0,14.47,0,0,0,0,0
1,20190118,100540,4,57,1036,34.89,20.04,14.85,10,1,0,0,34.89,0,0,0,0,0
1,20190118,142913,2,143,2834,182.29,23.73,168.13,5,1,0,0,182.29,0,0,0,0,9.57
1,20190118,154637,1,190,0,0,6.58,42.57,5,1,-20,0,0,0,0,0,69.15,0
1,20190118,172454,3,313,4521,15,32.7,42.74,10,1,60.44,0,15,0,0,0,0,0
1,20190118,190515,4,402,9989,170.93,11.89,159.04,5,1,0,0,170.93,0,0,0,0,0
1,20190118,201545,1,320,642,69.27,5.85,63.42,5,1,0,0,69.27,0,0,0,0,0
4,20190118,142623,5,81,9382,362.09,44.39,317.7,10,1,0,0,362.09,0,0,0,0,0
4,20190118,173122,2,263,9674,45.26,22,23.26,10,1,0,0,45.26,0,0,0,0,0
4,20190118,200954,1,341,0,0,42.44,87.95,5,1,0,0,0,0,0,130.39,0,0
4,20190118,210209,1,359,91,275.98,38.55,237.43,10,1,0,0,275.98,0,0,0,0,0
4,20190118,214606,2,448,5199,125.41,28.72,96.69,10,1,0,0,125.41,0,0,0,0,0
9,20190118,85653,2,47,8242,224.03,69.78,157.71,10,1,0,0,224.03,0,0,3.46,0,0
9,20190118,131013,2,232,0,0,11.78,38.83,10,1,50.61,0,0,0,0,0,0,0
9,20190118,163651,4,263,1658,17.22,16.76,0.46,10,1,0,0,17.22,0,0,0,0,0
9,20190118,174145,1,329,1706,3.33,6.34,-3.01,5,1,0,0,3.33,0,0,0,0,0
9,20190118,184649,3,264,7129,85.34,35.59,75.84,10,1,0,0,85.34,0,26.09,0,0,0
9,20190118,185553,1,368,1218,41.65,32.12,12.58,5,1,3.05,0,41.65,0,0,0,0,0
9,20190118,191630,3,282,0,0,10.92,53.57,10,1,0,0,0,0,0,0,64.49,0
9,20190118,203700,3,328,5464,15.21,21.27,-6.06,10,1,0,0,15.21,0,0,0,0,0
1,20190119,123223,4,78,2546,1.38,24.06,-22.68,20,2,0,0,1.38,0,0,0,0,0
1,20190119,165459,2,265,0,0,23.18,-10,10,1,13.18,0,0,0,0,0,0,0
4,20190119,95952,3,84,0,0,21.78,96.2,5,1,5,0,0,0,0,112.98,0,0
4,20190119,110350,3,129,741,146.11,20.18,131.35,20,2,0,0,146.11,0,0,0,5.42,0
4,20190119,123108,5,73,0,0,18.9,59.92,5,1,78.82,0,0,0,0,0,0,0
9,20190119,95856,6,34,4056,164.26,54.34,125.03,10,1,0,0,164.26,0,15.11,0,0,0
1,20190120,172259,4,169,6786,15.12,14.91,8.72,10,1,0,0,15.12,0,0,0,8.51,0
4,20190120,180845,4,108,1317,190.82,26.88,181.54,15,2,0,0,190.82,0,0,0,17.6,0
4,20190120,181459,4,112,5355,70.29,20.05,80.79,10,1,0,0,70.29,0,11,0,19.55,0
9,20190120,163228,74,37,6014,33.48,5.95,27.53,5,1,0,0,33.48,0,0,0,0,0
1,20190121,105700,3,132,1617,48.89,12.52,36.37,10,1,0,0,48.89,0,0,0,0,0
1,20190121,132912,2,38,563,54.63,18.54,36.09,10,1,0,0,54.63,0,0,0,0,0
1,20190121,133221,1,93,5838,42.13,20.61,21.52,10,1,0,0,42.13,0,0,0,0,0
1,20190121,163958,3,236,2657,11.91,9.98,1.93,5,1,0,0,11.91,0,0,0,0,0
1,20190121,180628,71,145,690,21.56,15.96,10.2,10,1,4.6,0,21.56,0,0,0,0,0
4,20190121,144919,3,223,9674,24.77,7.75,17.02,5,1,0,0,24.77,0,0,0,0,0
4,20190121,194559,3,396,1163,74.04,29.62,46.72,5,1,2.3,0,74.04,0,0,0,0,0
9,20190121,103710,2,107,0,0,10.41,-5.91,10,1,4.5,0,0,0,0,0,0,0
9,20190121,130943,1,83,979,129.96,50.16,79.8,10,1,0,0,129.96,0,0,0,0,0
9,20190121,141354,5,116,0,0,24.16,205.15,10,1,0,0,0,0,0,229.31,0,0
9,20190121,155702,5,176,1556,134.36,10.98,149.95,5,1,0,0,134.36,0,0,0,0,26.57
9,20190121,164202,3,41,6702,31.49,10.14,21.35,10,1,0,0,31.49,0,0,0,0,0
9,20190121,184110,2,230,0,0,13.15,79.21,5,1,0,0,0,0,0,92.36,0,0
1,20190122,113328,3,157,1036,44.13,14.6,29.53,10,1,0,0,44.13,0,0,0,0,0
1,20190122,143359,4,173,8337,35.12,16.43,18.69,15,2,0,0,35.12,0,0,0,0,0
1,20190122,161501,5,40,0,0,6.55,-6.41,5,1,0.14,0,0,0,0,0,0,0
1,20190122,180027,5,87,978,46.26,13.57,32.69,10,1,0,0,46.26,0,0,0,0,0
4,20190122,105002,3,136,9995,3.28,13.41,-10.13,10,1,0,0,3.28,0,0,0,0,0
4,20190122,121733,3,194,4014,80.89,49.91,30.98,10,1,0,0,80.89,0,0,0,0,0
4,20190122,133843,2,199,7203,37.09,8.47,39.09,5,1,0,0,37.09,0,0,10.47,0,0
4,20190122,135850,2,209,1901,23.74,12.74,20.44,10,1,0,0,23.74,0,7.3,0,2.14,0
4,20190122,141731,2,219,1007,22.65,17.92,14.91,10,1,0,0,22.65,0,0,10.18,0,0
9,20190122,120727,3,97,3785,142.09,25.12,141.33,10,1,-30,54.36,142.09,0,0,0,0,0
9,20190122,133439,71,29,9921,2.91,5.09,-2.01,5,1,0.17,0,2.91,0,0,0,0,0
1,20190123,100400,4,4,3697,60.75,12.43,48.32,10,1,0,0,60.75,0,0,0,0,0
1,20190123,134111,5,26,6786,5.41,20.46,-5.48,10,1,0,0,5.41,0,0,9.57,0,0
4,20190123,85847,3,47,7678,22.53,24.98,-2.45,10,1,0,0,22.53,0,0,0,0,0
4,20190123,103413,3,99,5989,44.96,11.17,33.79,10,1,0,0,44.96,0,0,0,0,0
4,20190123,173614,3,220,4108,3.27,8.81,4.46,5,1,0,0,3.27,0,0,0,0,10
4,20190123,181648,3,252,7325,52.51,18.81,35.82,10,1,2.12,0,52.51,0,0,0,0,0
4,20190123,181947,3,253,479,31.66,25.71,8.07,10,1,0,0,31.66,0,0,2.12,0,0
9,20190123,133703,5,122,1439,27.3,14.21,13.09,10,1,0,0,27.3,0,0,0,0,0
9,20190123,155545,6,151,5682,30.6,16.77,23.81,10,1,0,0,30.6,0,9.98,0,0,0
1,20190124,84324,3,42,860,1.13,18.55,-17.42,10,1,0,0,1.13,0,0,0,0,0
1,20190124,112205,71,41,0,0,18.46,-3.22,10,1,15.24,0,0,0,0,0,0,0
1,20190124,134916,5,47,771,23.45,21.44,2.01,10,1,0,0,23.45,0,0,0,0,0
1,20190124,140215,4,26,2834,176.41,34.09,151.89,10,1,9.57,0,176.41,0,0,0,0,0
1,20190124,173502,3,291,324,15.54,7.2,8.34,5,1,0,0,15.54,0,0,0,0,0
1,20190124,180214,3,304,0,0,10.21,-2,10,1,8.21,0,0,0,0,0,0,0
1,20190124,182955,3,318,0,0,11.44,53.18,10,1,64.62,0,0,0,0,0,0,0
1,20190124,183827,2,214,6222,28.03,10.56,23.47,10,1,6,0,28.03,0,0,0,0,0
4,20190124,104804,2,125,479,40.76,13.62,27.14,10,1,0,0,40.76,0,0,0,0,0
4,20190124,133750,1,36,3257,25.48,13.07,12.41,10,1,0,0,25.48,0,0,0,0,0
4,20190124,145611,3,61,1836,14.33,11.92,2.41,10,1,0,0,14.33,0,0,0,0,0
4,20190124,155945,1,118,9354,13.91,16.51,-0.4,10,1,2.2,0,13.91,0,0,0,0,0
4,20190124,172612,5,299,7820,50.13,18.49,31.64,10,1,0,0,50.13,0,0,0,0,0
9,20190124,135908,1,240,5921,71.06,18.77,52.29,10,1,0,0,71.06,0,0,0,0,0
9,20190124,193058,2,125,6702,14.67,15.61,-0.94,10,1,0,0,14.67,0,0,0,0,0
1,20190125,90742,3,45,4948,52.04,14.36,37.68,10,1,0,0,52.04,0,0,0,0,0
1,20190125,141642,4,44,6776,31.71,13.83,17.88,10,1,0,0,31.71,0,0,0,0,0
1,20190125,175701,3,269,3799,10.26,18.5,-8.24,10,1,0,0,10.26,0,0,0,0,0
1,20190125,201242,2,368,3160,31.55,15.59,86.38,10,1,0,0,31.55,0,70.42,0,0,0
4,20190125,140324,6,91,1007,70.94,23.31,47.63,10,1,0,0,70.94,0,0,0,0,0
4,20190125,143538,5,48,0,0,10.22,36.04,5,1,0,0,0,0,0,0,46.26,0
4,20190125,150341,6,126,9429,76.33,14.42,63.78,10,1,0,0,76.33,0,0,0,1.87,0
4,20190125,152806,4,57,0,0,16.54,17.03,10,1,0,0,0,0,0,0,30.33,3.24
4,20190125,170004,3,174,7470,27,29.3,40.5,10,1,42.8,0,27,0,0,0,0,0
1,20190126,133949,30,98,9995,11.42,15.3,-3.88,10,1,0,0,11.42,0,0,0,0,0
1,20190126,171401,4,217,3962,103.02,10.97,92.05,5,1,0,0,103.02,0,0,0,0,0
1,20190126,174237,2,221,8957,5.08,9.61,-4.53,5,1,0,0,5.08,0,0,0,0,0
1,20190126,202233,2,292,6429,25.74,15.57,27.72,10,1,17.55,0,25.74,0,0,0,0,0
4,20190126,94051,3,34,4157,46.05,10.97,35.08,10,1,0,0,46.05,0,0,0,0,0
4,20190126,122923,2,169,2026,22.3,24.94,-2.64,15,2,0,0,22.3,0,0,0,0,0
4,20190126,140534,4,28,1557,17.07,12.11,4.96,10,1,0,0,17.07,0,0,0,0,0
4,20190126,153942,1,27,9674,25.15,17.38,7.77,15,2,0,0,25.15,0,0,0,0,0
4,20190126,155754,2,178,0,0,11.73,-10,10,1,1.73,0,0,0,0,0,0,0
9,20190126,170125,5,202,5380,21.63,11.46,10.17,10,1,0,0,21.63,0,0,0,0,0
1,20190127,103052,4,15,3697,1.03,14.47,-13.44,10,1,0,0,1.03,0,0,0,0,0
1,20190127,160457,3,221,2265,5.62,7.64,-2.02,5,1,0,0,5.62,0,0,0,0,0
1,20190127,165042,3,236,2265,6.54,6.55,-0.01,5,1,0,0,6.54,0,0,0,0,0
4,20190127,102525,3,137,7129,78.42,36.59,98.45,20,2,0,0,78.42,0,56.62,0,0,0
4,20190127,135411,36,24,0,0,11,-10,10,1,1,0,0,0,0,0,0,0
4,20190127,135719,2,193,1907,73.64,30.66,48.05,20,2,0,0,73.64,0,0,0,5.07,0
4,20190127,152108,6,160,2546,16.41,12.33,4.08,5,1,0,0,16.41,0,0,0,0,0
4,20190127,155852,6,174,5111,70.07,6.63,63.44,5,1,0,0,70.07,0,0,0,0,0
4,20190127,155936,5,179,4414,17.44,19.4,0.49,10,1,0,0,17.44,0,0,2.45,0,0
4,20190127,183959,1,59,1901,30.94,15.93,18.13,10,1,0,0,30.94,0,3.12,0,0,0
9,20190127,112520,6,40,1215,137.37,20.12,124.48,5,1,7.23,0,137.37,0,0,0,0,0
9,20190127,141027,2,176,8242,126.04,51.9,74.14,10,1,0,0,126.04,0,0,0,0,0
9,20190127,152147,2,215,1717,7.53,13.77,-2.76,10,1,3.48,0,7.53,0,0,0,0,0
9,20190127,194629,1,139,0,0,12.96,-5.75,10,1,0,0,0,0,0,7.21,0,0
1,20190128,120139,3,208,1036,127.02,22.87,113.53,10,1,0,0,127.02,0,0,0,0,9.38
1,20190128,140851,30,99,9748,17.96,17.26,0.7,10,1,0,0,17.96,0,0,0,0,0
1,20190128,142703,1,136,0,0,20.97,73.05,10,1,0,0,0,0,0,94.02,0,0
1,20190128,160720,3,295,5838,50.59,12.73,37.86,10,1,0,0,50.59,0,0,0,0,0
1,20190128,161307,4,207,5845,16.94,15.02,5.61,10,1,3.69,0,16.94,0,0,0,0,0
1,20190128,161618,2,24,1347,81.29,18.68,62.61,10,1,0,0,81.29,0,0,0,0,0
1,20190128,181417,2,84,4146,53.15,19.76,33.39,10,1,0,0,53.15,0,0,0,0,0
4,20190128,85721,2,82,7678,23.65,14.33,9.32,10,1,0,0,23.65,0,0,0,0,0
4,20190128,103312,2,123,9090,24,20.73,3.27,10,1,0,0,24,0,0,0,0,0
4,20190128,104852,3,70,2281,26.52,13.87,34.99,5,1,0,0,26.52,0,0,22.34,0,0
4,20190128,142141,5,12,0,0,15.85,53.35,10,1,0,69.2,0,0,0,0,0,0
4,20190128,144532,71,56,0,0,6.98,-2.5,5,1,-10,0,0,0,0,0,14.48,0
9,20190128,94427,1,40,0,0,34.57,1,20,2,0,0,0,0,0,35.57,0,0
9,20190128,112009,2,116,3785,105.53,18.43,87.1,10,1,0,0,105.53,0,0,0,0,0
9,20190128,115319,35,37,9147,46.83,23.95,34.88,10,1,0,0,46.83,0,0,0,0,12
9,20190128,145048,2,227,2525,33.04,12.01,21.03,5,1,0,0,33.04,0,0,0,0,0
9,20190128,153535,2,240,5686,16.81,10.73,6.08,5,1,0,0,16.81,0,0,0,0,0
9,20190128,162817,2,267,5399,122.62,11.52,111.1,5,1,0,0,122.62,0,0,0,0,0
1,20190129,111800,4,42,3943,160.76,35.93,124.83,10,1,0,0,160.76,0,0,0,0,0
1,20190129,121513,3,189,9658,0.05,10.05,-10,10,1,0,0,0.05,0,0,0,0,0
1,20190129,122822,1,74,2265,2.8,7.8,-5,5,1,0,0,2.8,0,0,0,0,0
1,20190129,132837,3,231,0,0,7.97,-5.98,5,1,1.99,0,0,0,0,0,0,0
1,20190129,134929,3,250,8337,70.68,31.87,38.81,10,1,0,0,70.68,0,0,0,0,0
1,20190129,140651,3,269,6222,4.42,10.95,-3.01,10,1,3.52,0,4.42,0,0,0,0,0
1,20190129,143807,5,25,5921,31.91,11.77,21.51,10,1,0,0,31.91,0,1.37,0,0,0
1,20190129,155743,2,32,2834,23.3,13.11,19.76,10,1,9.57,0,23.3,0,0,0,0,0
1,20190129,180921,5,117,0,0,13.12,51.07,5,1,64.19,0,0,0,0,0,0,0
1,20190129,185224,3,430,9995,18.94,13.85,5.09,10,1,0,0,18.94,0,0,0,0,0
4,20190129,90558,2,5,7678,20.45,20.3,0.15,10,1,0,0,20.45,0,0,0,0,0
4,20190129,123401,6,62,1268,15.19,11.42,3.77,10,2,0,0,15.19,0,0,0,0,0
4,20190129,130250,2,149,9674,29.44,12.78,16.66,10,1,0,0,29.44,0,0,0,0,0
4,20190129,140609,6,108,3994,55.68,14.97,40.71,5,1,0,0,55.68,0,0,0,0,0
4,20190129,142245,6,114,0,0,18.39,51.34,10,1,0,0,0,0,0,0,69.73,0
4,20190129,143124,2,193,7325,22.25,11.51,33.38,10,1,0,0,22.25,0,0,22.64,0,0
4,20190129,143348,5,32,0,0,36.65,100.4,5,1,137.05,0,0,0,0,0,0,0
4,20190129,145520,5,39,8085,25.6,9.95,18.99,5,1,0,0,25.6,0,0,0,3.34,0
4,20190129,150127,2,213,479,11.26,20.47,-9.21,10,1,0,0,11.26,0,0,0,0,0
4,20190129,154105,2,234,0,0,10.76,26.77,5,1,0,0,0,0,0,37.53,0,0
4,20190129,171026,4,261,4157,62.17,20.67,55.33,10,1,0,0,62.17,0,0,0,13.83,0
4,20190129,172350,6,175,0,0,27.22,6.1,15,2,0,0,0,0,0,33.32,0,0
4,20190129,182755,3,82,8803,45.66,24.9,20.76,10,1,0,0,45.66,0,0,0,0,0
4,20190129,195441,3,121,5901,40,18.31,37.24,10,1,0,0,40,0,0,0,15.55,0
9,20190129,93659,5,15,3286,58.42,24.44,34.9,10,1,0.92,0,58.42,0,0,0,0,0
9,20190129,141550,2,37,2525,26.89,12.54,14.35,10,1,0,0,26.89,0,0,0,0,0
1,20190130,121428,3,158,3038,53.67,17.92,35.75,10,1,0,0,53.67,0,0,0,0,0
1,20190130,122458,3,164,0,0,5.75,12.41,5,1,0,0,0,0,0,18.16,0,0
1,20190130,143515,2,86,0,0,17.13,-7.45,5,1,9.68,0,0,0,0,0,0,0
1,20190130,144014,2,90,1036,102.08,19.52,82.56,10,1,0,0,102.08,0,0,0,0,0
4,20190130,141648,4,120,479,3.65,12.96,-9.31,10,1,0,0,3.65,0,0,0,0,0
4,20190130,144320,6,71,7791,20.88,10.67,10.21,5,1,0,0,20.88,0,0,0,0,0
4,20190130,151437,6,97,5111,87.9,13.37,74.53,10,1,0,0,87.9,0,0,0,0,0
4,20190130,151547,6,98,0,0,8.31,13.24,5,1,21.55,0,0,0,0,0,0,0
